町丁目,FamilyType,TotalHouseholds,TotalPopulation
吉塚８丁目,その他の核家族世帯,22,56
吉塚８丁目,核家族以外の世帯,11,34
吉塚８丁目,非親族を含む世帯,11,22
吉塚８丁目,単独世帯,159,159
豊１丁目,夫婦のみの世帯,73,146
豊１丁目,夫婦と子供から成る世帯,71,247
豊１丁目,その他の核家族世帯,24,59
豊１丁目,核家族以外の世帯,21,59
豊１丁目,非親族を含む世帯,16,32
豊１丁目,単独世帯,522,522
豊２丁目,夫婦のみの世帯,56,112
豊２丁目,夫婦と子供から成る世帯,54,185
豊２丁目,その他の核家族世帯,10,20
豊２丁目,核家族以外の世帯,9,24
豊２丁目,非親族を含む世帯,20,40
豊２丁目,単独世帯,288,288
榎田１丁目,夫婦のみの世帯,51,102
榎田１丁目,夫婦と子供から成る世帯,76,280
榎田１丁目,その他の核家族世帯,7,15
榎田１丁目,核家族以外の世帯,19,44
榎田１丁目,非親族を含む世帯,10,20
榎田１丁目,単独世帯,407,407
榎田２丁目,夫婦のみの世帯,4,8
榎田２丁目,夫婦と子供から成る世帯,3,11
榎田２丁目,その他の核家族世帯,0,0
榎田２丁目,核家族以外の世帯,0,0
榎田２丁目,非親族を含む世帯,0,0
榎田２丁目,単独世帯,23,23
堅粕１丁目,夫婦のみの世帯,81,162
堅粕１丁目,夫婦と子供から成る世帯,79,285
堅粕１丁目,その他の核家族世帯,63,153
堅粕１丁目,核家族以外の世帯,17,55
堅粕１丁目,非親族を含む世帯,1,2
堅粕１丁目,単独世帯,403,403
堅粕２丁目,夫婦のみの世帯,73,146
堅粕２丁目,夫婦と子供から成る世帯,73,269
堅粕２丁目,その他の核家族世帯,46,106
堅粕２丁目,核家族以外の世帯,17,52
堅粕２丁目,非親族を含む世帯,6,12
堅粕２丁目,単独世帯,408,408
堅粕３丁目,夫婦のみの世帯,77,154
堅粕３丁目,夫婦と子供から成る世帯,75,260
堅粕３丁目,その他の核家族世帯,54,126
堅粕３丁目,核家族以外の世帯,42,117
堅粕３丁目,非親族を含む世帯,14,30
堅粕３丁目,単独世帯,655,655
堅粕４丁目,夫婦のみの世帯,70,140
堅粕４丁目,夫婦と子供から成る世帯,83,273
堅粕４丁目,その他の核家族世帯,45,103
堅粕４丁目,核家族以外の世帯,38,139
堅粕４丁目,非親族を含む世帯,12,25
堅粕４丁目,単独世帯,847,847
堅粕５丁目,夫婦のみの世帯,24,48
堅粕５丁目,夫婦と子供から成る世帯,15,52
堅粕５丁目,その他の核家族世帯,7,14
堅粕５丁目,核家族以外の世帯,8,23
堅粕５丁目,非親族を含む世帯,9,18
堅粕５丁目,単独世帯,377,377
東光１丁目,夫婦のみの世帯,11,22
東光１丁目,夫婦と子供から成る世帯,0,0
東光１丁目,その他の核家族世帯,2,4
東光１丁目,核家族以外の世帯,1,2
東光１丁目,非親族を含む世帯,4,8
東光１丁目,単独世帯,152,152
東光２丁目,夫婦のみの世帯,76,152
東光２丁目,夫婦と子供から成る世帯,73,270
東光２丁目,その他の核家族世帯,42,103
東光２丁目,核家族以外の世帯,22,65
東光２丁目,非親族を含む世帯,12,26
東光２丁目,単独世帯,386,386
東比恵１丁目,夫婦のみの世帯,11,22
東比恵１丁目,夫婦と子供から成る世帯,5,16
東比恵１丁目,その他の核家族世帯,7,16
東比恵１丁目,核家族以外の世帯,2,8
東比恵１丁目,非親族を含む世帯,1,2
東比恵１丁目,単独世帯,124,124
東比恵２丁目,夫婦のみの世帯,54,108
東比恵２丁目,夫婦と子供から成る世帯,40,140
東比恵２丁目,その他の核家族世帯,29,67
東比恵２丁目,核家族以外の世帯,10,32
東比恵２丁目,非親族を含む世帯,4,8
東比恵２丁目,単独世帯,592,592
東比恵３丁目,夫婦のみの世帯,142,284
東比恵３丁目,夫婦と子供から成る世帯,155,534
東比恵３丁目,その他の核家族世帯,49,114
東比恵３丁目,核家族以外の世帯,19,70
東比恵３丁目,非親族を含む世帯,17,37
東比恵３丁目,単独世帯,820,820
東比恵４丁目,夫婦のみの世帯,59,118
東比恵４丁目,夫婦と子供から成る世帯,75,275
東比恵４丁目,その他の核家族世帯,36,84
東比恵４丁目,核家族以外の世帯,16,48
東比恵４丁目,非親族を含む世帯,6,12
東比恵４丁目,単独世帯,307,307
上牟田１丁目,夫婦のみの世帯,56,112
上牟田１丁目,夫婦と子供から成る世帯,96,336
上牟田１丁目,その他の核家族世帯,25,65
上牟田１丁目,核家族以外の世帯,17,72
上牟田１丁目,非親族を含む世帯,9,18
上牟田１丁目,単独世帯,364,364
上牟田２丁目,夫婦のみの世帯,10,20
上牟田２丁目,夫婦と子供から成る世帯,13,46
上牟田２丁目,その他の核家族世帯,3,6
上牟田２丁目,核家族以外の世帯,8,29
上牟田２丁目,非親族を含む世帯,1,2
上牟田２丁目,単独世帯,34,34
上牟田３丁目,夫婦のみの世帯,46,92
上牟田３丁目,夫婦と子供から成る世帯,54,201
上牟田３丁目,その他の核家族世帯,43,103
上牟田３丁目,核家族以外の世帯,24,91
上牟田３丁目,非親族を含む世帯,3,6
上牟田３丁目,単独世帯,162,162
大井１丁目,夫婦のみの世帯,2,4
大井１丁目,夫婦と子供から成る世帯,1,3
大井１丁目,その他の核家族世帯,2,4
大井１丁目,核家族以外の世帯,1,6
大井１丁目,非親族を含む世帯,1,2
大井１丁目,単独世帯,4,4
大井２丁目,夫婦のみの世帯,21,42
大井２丁目,夫婦と子供から成る世帯,31,114
大井２丁目,その他の核家族世帯,15,39
大井２丁目,核家族以外の世帯,4,16
大井２丁目,非親族を含む世帯,5,10
大井２丁目,単独世帯,85,85
大字下臼井,夫婦のみの世帯,0,0
大字下臼井,夫婦と子供から成る世帯,0,0
大字下臼井,その他の核家族世帯,0,0
大字下臼井,核家族以外の世帯,0,0
大字下臼井,非親族を含む世帯,0,0
大字下臼井,単独世帯,0,0
大字下月隈,夫婦のみの世帯,0,0
大字下月隈,夫婦と子供から成る世帯,0,0
大字下月隈,その他の核家族世帯,0,0
大字下月隈,核家族以外の世帯,0,0
大字下月隈,非親族を含む世帯,0,0
大字下月隈,単独世帯,0,0
大字立花寺,夫婦のみの世帯,9,18
大字立花寺,夫婦と子供から成る世帯,29,114
大字立花寺,その他の核家族世帯,8,21
大字立花寺,核家族以外の世帯,9,43
大字立花寺,非親族を含む世帯,0,0
大字立花寺,単独世帯,6,6
大字金隈,夫婦のみの世帯,0,0
大字金隈,夫婦と子供から成る世帯,0,0
大字金隈,その他の核家族世帯,0,0
大字金隈,核家族以外の世帯,0,0
大字金隈,非親族を含む世帯,0,0
大字金隈,単独世帯,0,0
西月隈１丁目,夫婦のみの世帯,20,40
西月隈１丁目,夫婦と子供から成る世帯,18,62
西月隈１丁目,その他の核家族世帯,11,30
西月隈１丁目,核家族以外の世帯,7,28
西月隈１丁目,非親族を含む世帯,2,6
西月隈１丁目,単独世帯,120,120
西月隈３丁目,夫婦のみの世帯,76,152
西月隈３丁目,夫婦と子供から成る世帯,151,533
西月隈３丁目,その他の核家族世帯,36,83
西月隈３丁目,核家族以外の世帯,12,50
西月隈３丁目,非親族を含む世帯,6,17
西月隈３丁目,単独世帯,192,192
西月隈４丁目,夫婦のみの世帯,0,0
西月隈４丁目,夫婦と子供から成る世帯,0,0
西月隈４丁目,その他の核家族世帯,0,0
西月隈４丁目,核家族以外の世帯,0,0
西月隈４丁目,非親族を含む世帯,0,0
西月隈４丁目,単独世帯,13,13
西月隈５丁目,夫婦のみの世帯,31,62
西月隈５丁目,夫婦と子供から成る世帯,59,219
西月隈５丁目,その他の核家族世帯,30,68
西月隈５丁目,核家族以外の世帯,22,92
西月隈５丁目,非親族を含む世帯,3,6
西月隈５丁目,単独世帯,108,108
西月隈６丁目,夫婦のみの世帯,0,0
西月隈６丁目,夫婦と子供から成る世帯,4,18
西月隈６丁目,その他の核家族世帯,1,3
西月隈６丁目,核家族以外の世帯,1,2
西月隈６丁目,非親族を含む世帯,2,4
西月隈６丁目,単独世帯,23,23
東月隈１丁目,夫婦のみの世帯,76,152
東月隈１丁目,夫婦と子供から成る世帯,85,309
東月隈１丁目,その他の核家族世帯,25,62
東月隈１丁目,核家族以外の世帯,22,87
東月隈１丁目,非親族を含む世帯,1,2
東月隈１丁目,単独世帯,38,38
東月隈２丁目,夫婦のみの世帯,80,160
東月隈２丁目,夫婦と子供から成る世帯,76,258
東月隈２丁目,その他の核家族世帯,17,41
東月隈２丁目,核家族以外の世帯,27,127
東月隈２丁目,非親族を含む世帯,0,0
東月隈２丁目,単独世帯,28,28
東月隈３丁目,夫婦のみの世帯,112,224
東月隈３丁目,夫婦と子供から成る世帯,119,431
東月隈３丁目,その他の核家族世帯,38,94
東月隈３丁目,核家族以外の世帯,35,153
東月隈３丁目,非親族を含む世帯,1,5
東月隈３丁目,単独世帯,99,99
東月隈４丁目,夫婦のみの世帯,155,310
