Town,FamilyType,TotalHouseholds,TotalPopulation,NonResSumHouseholds,NonResSumPopulation
大井２丁目,非親族を含む世帯,5,10,11,11
大井２丁目,単独世帯,85,85,11,11
大字下臼井,夫婦のみの世帯,0,0,0,0
大字下臼井,夫婦と子供から成る世帯,0,0,0,0
大字下臼井,その他の核家族世帯,0,0,0,0
大字下臼井,核家族以外の世帯,0,0,0,0
大字下臼井,非親族を含む世帯,0,0,0,0
大字下臼井,単独世帯,0,0,0,0
大字下月隈,夫婦のみの世帯,0,0,0,0
大字下月隈,夫婦と子供から成る世帯,0,0,0,0
大字下月隈,その他の核家族世帯,0,0,0,0
大字下月隈,核家族以外の世帯,0,0,0,0
大字下月隈,非親族を含む世帯,0,0,0,0
大字下月隈,単独世帯,0,0,0,0
大字立花寺,夫婦のみの世帯,9,18,0,0
大字立花寺,夫婦と子供から成る世帯,29,114,0,0
大字立花寺,その他の核家族世帯,8,21,0,0
大字立花寺,核家族以外の世帯,9,43,0,0
大字立花寺,非親族を含む世帯,0,0,0,0
大字立花寺,単独世帯,6,6,0,0
大字金隈,夫婦のみの世帯,0,0,0,0
大字金隈,夫婦と子供から成る世帯,0,0,0,0
大字金隈,その他の核家族世帯,0,0,0,0
大字金隈,核家族以外の世帯,0,0,0,0
大字金隈,非親族を含む世帯,0,0,0,0
大字金隈,単独世帯,0,0,0,0
西月隈４丁目,夫婦のみの世帯,0,0,13,13
西月隈４丁目,夫婦と子供から成る世帯,0,0,13,13
西月隈４丁目,その他の核家族世帯,0,0,13,13
西月隈４丁目,核家族以外の世帯,0,0,13,13
西月隈４丁目,非親族を含む世帯,0,0,13,13
西月隈４丁目,単独世帯,13,13,13,13
西月隈５丁目,夫婦のみの世帯,31,62,0,0
西月隈５丁目,夫婦と子供から成る世帯,59,219,0,0
西月隈５丁目,その他の核家族世帯,30,68,0,0
西月隈５丁目,核家族以外の世帯,22,92,0,0
西月隈５丁目,非親族を含む世帯,3,6,0,0
西月隈５丁目,単独世帯,108,108,0,0
西月隈６丁目,夫婦のみの世帯,0,0,9,9
西月隈６丁目,夫婦と子供から成る世帯,4,18,9,9
西月隈６丁目,その他の核家族世帯,1,3,9,9
西月隈６丁目,核家族以外の世帯,1,2,9,9
西月隈６丁目,非親族を含む世帯,2,4,9,9
西月隈６丁目,単独世帯,23,23,9,9
東月隈１丁目,夫婦のみの世帯,76,152,0,0
東月隈１丁目,夫婦と子供から成る世帯,85,309,0,0
東月隈１丁目,その他の核家族世帯,25,62,0,0
東月隈１丁目,核家族以外の世帯,22,87,0,0
東月隈１丁目,非親族を含む世帯,1,2,0,0
東月隈１丁目,単独世帯,38,38,0,0
東月隈２丁目,夫婦のみの世帯,80,160,0,0
東月隈２丁目,夫婦と子供から成る世帯,76,258,0,0
東月隈２丁目,その他の核家族世帯,17,41,0,0
東月隈２丁目,核家族以外の世帯,27,127,0,0
東月隈２丁目,非親族を含む世帯,0,0,0,0
東月隈２丁目,単独世帯,28,28,0,0
東月隈３丁目,夫婦のみの世帯,112,224,1,1
東月隈３丁目,夫婦と子供から成る世帯,119,431,1,1
東月隈３丁目,その他の核家族世帯,38,94,1,1
東月隈３丁目,核家族以外の世帯,35,153,1,1
東月隈３丁目,非親族を含む世帯,1,5,1,1
東月隈３丁目,単独世帯,99,99,1,1
東月隈４丁目,夫婦のみの世帯,155,310,0,0
東月隈４丁目,夫婦と子供から成る世帯,169,654,0,0
東月隈４丁目,その他の核家族世帯,166,397,0,0
東月隈４丁目,核家族以外の世帯,43,146,0,0
東月隈４丁目,非親族を含む世帯,7,18,0,0
東月隈４丁目,単独世帯,262,262,0,0
東月隈５丁目,夫婦のみの世帯,94,188,6,6
東月隈５丁目,夫婦と子供から成る世帯,101,352,6,6
東月隈５丁目,その他の核家族世帯,31,69,6,6
東月隈５丁目,核家族以外の世帯,55,247,6,6
東月隈５丁目,非親族を含む世帯,3,12,6,6
東月隈５丁目,単独世帯,84,84,6,6
浦田２丁目,夫婦のみの世帯,74,148,10,10
浦田２丁目,夫婦と子供から成る世帯,187,685,10,10
浦田２丁目,その他の核家族世帯,23,62,10,10
浦田２丁目,核家族以外の世帯,28,109,10,10
浦田２丁目,非親族を含む世帯,2,7,10,10
浦田２丁目,単独世帯,112,112,10,10
東那珂１丁目,夫婦のみの世帯,109,218,0,0
東那珂１丁目,夫婦と子供から成る世帯,251,936,0,0
東那珂１丁目,その他の核家族世帯,53,130,0,0
東那珂１丁目,核家族以外の世帯,31,125,0,0
東那珂１丁目,非親族を含む世帯,12,24,0,0
東那珂１丁目,単独世帯,327,327,0,0
東那珂２丁目,夫婦のみの世帯,94,188,39,39
東那珂２丁目,夫婦と子供から成る世帯,181,667,39,39
東那珂２丁目,その他の核家族世帯,46,115,39,39
東那珂２丁目,核家族以外の世帯,30,104,39,39
東那珂２丁目,非親族を含む世帯,9,20,39,39
東那珂２丁目,単独世帯,292,292,39,39
東那珂３丁目,夫婦のみの世帯,85,170,23,23
東那珂３丁目,夫婦と子供から成る世帯,190,715,23,23
東那珂３丁目,その他の核家族世帯,60,146,23,23
東那珂３丁目,核家族以外の世帯,43,173,23,23
東那珂３丁目,非親族を含む世帯,8,21,23,23
東那珂３丁目,単独世帯,177,177,23,23
半道橋１丁目,夫婦のみの世帯,127,254,37,37
半道橋１丁目,夫婦と子供から成る世帯,218,789,37,37
半道橋１丁目,その他の核家族世帯,65,155,37,37
半道橋１丁目,核家族以外の世帯,41,149,37,37
半道橋１丁目,非親族を含む世帯,9,21,37,37
半道橋１丁目,単独世帯,288,288,37,37
半道橋２丁目,夫婦のみの世帯,19,38,0,0
半道橋２丁目,夫婦と子供から成る世帯,14,49,0,0
半道橋２丁目,その他の核家族世帯,9,19,0,0
半道橋２丁目,核家族以外の世帯,10,35,0,0
半道橋２丁目,非親族を含む世帯,3,9,0,0
半道橋２丁目,単独世帯,54,54,0,0
竹下１丁目,夫婦のみの世帯,54,108,5,5
竹下１丁目,夫婦と子供から成る世帯,76,274,5,5
竹下１丁目,その他の核家族世帯,19,45,5,5
竹下１丁目,核家族以外の世帯,7,23,5,5
竹下１丁目,非親族を含む世帯,5,11,5,5
竹下１丁目,単独世帯,362,362,5,5
竹下３丁目,夫婦のみの世帯,0,0,0,0
竹下３丁目,夫婦と子供から成る世帯,0,0,0,0
竹下３丁目,その他の核家族世帯,0,0,0,0
竹下３丁目,核家族以外の世帯,0,0,0,0
竹下３丁目,非親族を含む世帯,0,0,0,0
竹下３丁目,単独世帯,0,0,0,0
竹下４丁目,夫婦のみの世帯,71,142,2,2
竹下４丁目,夫婦と子供から成る世帯,59,202,2,2
竹下４丁目,その他の核家族世帯,48,112,2,2
竹下４丁目,核家族以外の世帯,14,48,2,2
竹下４丁目,非親族を含む世帯,10,21,2,2
竹下４丁目,単独世帯,496,496,2,2
竹下５丁目,夫婦のみの世帯,90,180,2,2
竹下５丁目,夫婦と子供から成る世帯,155,556,2,2
竹下５丁目,その他の核家族世帯,33,81,2,2
竹下５丁目,核家族以外の世帯,23,78,2,2
竹下５丁目,非親族を含む世帯,5,11,2,2
竹下５丁目,単独世帯,410,410,2,2
東光寺町１丁目,夫婦のみの世帯,65,130,7,7
東光寺町１丁目,夫婦と子供から成る世帯,71,259,7,7
東光寺町１丁目,その他の核家族世帯,18,45,7,7
東光寺町１丁目,核家族以外の世帯,20,80,7,7
東光寺町１丁目,非親族を含む世帯,14,30,7,7
東光寺町１丁目,単独世帯,188,188,7,7
東光寺町２丁目,夫婦のみの世帯,44,88,1,1
東光寺町２丁目,夫婦と子供から成る世帯,100,368,1,1
東光寺町２丁目,その他の核家族世帯,29,77,1,1
東光寺町２丁目,核家族以外の世帯,6,21,1,1
東光寺町２丁目,非親族を含む世帯,1,2,1,1
東光寺町２丁目,単独世帯,86,86,1,1
那珂４丁目,夫婦のみの世帯,84,168,2,2
那珂４丁目,夫婦と子供から成る世帯,228,852,2,2
那珂４丁目,その他の核家族世帯,62,150,2,2
那珂４丁目,核家族以外の世帯,32,121,2,2
那珂４丁目,非親族を含む世帯,4,10,2,2
那珂４丁目,単独世帯,200,200,2,2
那珂５丁目,夫婦のみの世帯,66,132,17,17
那珂５丁目,夫婦と子供から成る世帯,126,458,17,17
那珂５丁目,その他の核家族世帯,46,114,17,17
那珂５丁目,核家族以外の世帯,21,83,17,17
那珂５丁目,非親族を含む世帯,5,15,17,17
那珂５丁目,単独世帯,223,223,17,17
那珂６丁目,夫婦のみの世帯,58,116,0,0
那珂６丁目,夫婦と子供から成る世帯,124,454,0,0
那珂６丁目,その他の核家族世帯,25,62,0,0
那珂６丁目,核家族以外の世帯,17,78,0,0
那珂６丁目,非親族を含む世帯,0,0,0,0
那珂６丁目,単独世帯,228,228,0,0
板付１丁目,夫婦のみの世帯,33,66,0,0
板付１丁目,夫婦と子供から成る世帯,56,194,0,0
板付１丁目,その他の核家族世帯,11,25,0,0
板付１丁目,核家族以外の世帯,9,32,0,0
板付１丁目,非親族を含む世帯,3,9,0,0
