Town,BuildingType,TotalHouseholds,TotalPopulation
西月隈３丁目,長屋建,3,4
西月隈３丁目,共同住宅,383,812
西月隈３丁目,その他,2,4
西月隈４丁目,一戸建,0,0
西月隈４丁目,長屋建,0,0
西月隈４丁目,共同住宅,0,0
西月隈４丁目,その他,0,0
西月隈５丁目,一戸建,91,221
西月隈５丁目,長屋建,13,31
西月隈５丁目,共同住宅,143,289
西月隈５丁目,その他,2,5
西月隈６丁目,一戸建,11,28
西月隈６丁目,長屋建,0,0
西月隈６丁目,共同住宅,10,12
西月隈６丁目,その他,0,0
東月隈１丁目,一戸建,241,631
東月隈１丁目,長屋建,0,0
東月隈１丁目,共同住宅,0,0
東月隈１丁目,その他,0,0
東月隈２丁目,一戸建,224,606
東月隈２丁目,長屋建,1,1
東月隈２丁目,共同住宅,2,5
東月隈２丁目,その他,1,2
東月隈３丁目,一戸建,203,543
東月隈３丁目,長屋建,9,16
東月隈３丁目,共同住宅,189,441
東月隈３丁目,その他,0,0
東月隈４丁目,一戸建,5,17
東月隈４丁目,長屋建,3,4
東月隈４丁目,共同住宅,792,1763
東月隈４丁目,その他,0,0
東月隈５丁目,一戸建,329,884
東月隈５丁目,長屋建,4,7
東月隈５丁目,共同住宅,23,40
東月隈５丁目,その他,0,0
浦田１丁目,一戸建,365,1019
浦田１丁目,長屋建,35,84
浦田１丁目,共同住宅,239,563
浦田１丁目,その他,2,3
浦田２丁目,一戸建,288,852
浦田２丁目,長屋建,0,0
浦田２丁目,共同住宅,124,254
浦田２丁目,その他,1,1
東那珂１丁目,一戸建,84,219
東那珂１丁目,長屋建,5,12
東那珂１丁目,共同住宅,683,1504
東那珂１丁目,その他,2,3
東那珂２丁目,一戸建,98,237
東那珂２丁目,長屋建,31,46
東那珂２丁目,共同住宅,476,1052
東那珂２丁目,その他,2,3
東那珂３丁目,一戸建,90,243
東那珂３丁目,長屋建,7,10
東那珂３丁目,共同住宅,437,1109
東那珂３丁目,その他,3,7
半道橋１丁目,一戸建,100,254
半道橋１丁目,長屋建,16,25
半道橋１丁目,共同住宅,586,1326
半道橋１丁目,その他,0,0
半道橋２丁目,一戸建,34,80
半道橋２丁目,長屋建,2,2
半道橋２丁目,共同住宅,69,111
半道橋２丁目,その他,3,8
竹下１丁目,一戸建,38,87
竹下１丁目,長屋建,7,10
竹下１丁目,共同住宅,466,712
竹下１丁目,その他,2,2
竹下２丁目,一戸建,24,59
竹下２丁目,長屋建,1,2
竹下２丁目,共同住宅,331,418
竹下２丁目,その他,1,2
竹下３丁目,一戸建,0,0
竹下３丁目,長屋建,0,0
竹下３丁目,共同住宅,0,0
竹下３丁目,その他,0,0
竹下４丁目,一戸建,61,112
竹下４丁目,長屋建,1,1
竹下４丁目,共同住宅,625,893
竹下４丁目,その他,1,2
竹下５丁目,一戸建,132,306
竹下５丁目,長屋建,7,8
竹下５丁目,共同住宅,568,986
竹下５丁目,その他,0,0
東光寺町１丁目,一戸建,101,266
東光寺町１丁目,長屋建,30,72
東光寺町１丁目,共同住宅,233,370
東光寺町１丁目,その他,1,1
東光寺町２丁目,一戸建,1,2
東光寺町２丁目,長屋建,0,0
東光寺町２丁目,共同住宅,260,630
東光寺町２丁目,その他,2,5
那珂１丁目,一戸建,243,605
那珂１丁目,長屋建,36,62
那珂１丁目,共同住宅,652,1129
那珂１丁目,その他,1,6
那珂２丁目,一戸建,101,254
那珂２丁目,長屋建,15,32
那珂２丁目,共同住宅,447,923
那珂２丁目,その他,0,0
那珂３丁目,一戸建,58,180
那珂３丁目,長屋建,22,49
那珂３丁目,共同住宅,695,1632
那珂３丁目,その他,3,7
那珂４丁目,一戸建,29,73
那珂４丁目,長屋建,1,1
那珂４丁目,共同住宅,571,1414
那珂４丁目,その他,0,0
那珂５丁目,一戸建,58,144
那珂５丁目,長屋建,1,4
那珂５丁目,共同住宅,410,859
那珂５丁目,その他,1,1
那珂６丁目,一戸建,96,235
那珂６丁目,長屋建,12,23
那珂６丁目,共同住宅,341,675
那珂６丁目,その他,1,1
板付１丁目,一戸建,47,111
板付１丁目,長屋建,5,9
板付１丁目,共同住宅,142,288
板付１丁目,その他,0,0
板付２丁目,一戸建,101,292
板付２丁目,長屋建,7,10
板付２丁目,共同住宅,259,626
板付２丁目,その他,1,2
板付３丁目,一戸建,6,19
板付３丁目,長屋建,0,0
板付３丁目,共同住宅,1576,3436
板付３丁目,その他,0,0
