Town,OwnershipType,TotalHouseholds,TotalPopulation
東比恵４丁目,持ち家,153,323
東比恵４丁目,公営・都市再生機構・公社の借家,93,193
東比恵４丁目,民営の借家,207,265
東比恵４丁目,給与住宅,35,43
東比恵４丁目,間借り,3,10
上牟田１丁目,持ち家,190,486
上牟田１丁目,公営・都市再生機構・公社の借家,0,0
上牟田１丁目,民営の借家,329,398
上牟田１丁目,給与住宅,44,75
上牟田１丁目,間借り,4,8
上牟田２丁目,持ち家,23,61
上牟田２丁目,公営・都市再生機構・公社の借家,0,0
上牟田２丁目,民営の借家,39,63
上牟田２丁目,給与住宅,2,4
上牟田２丁目,間借り,4,8
上牟田３丁目,持ち家,24,66
上牟田３丁目,公営・都市再生機構・公社の借家,180,419
上牟田３丁目,民営の借家,92,113
上牟田３丁目,給与住宅,34,54
上牟田３丁目,間借り,2,3
大井１丁目,持ち家,8,18
大井１丁目,公営・都市再生機構・公社の借家,0,0
大井１丁目,民営の借家,3,5
大井１丁目,給与住宅,0,0
大井１丁目,間借り,0,0
大井２丁目,持ち家,26,72
大井２丁目,公営・都市再生機構・公社の借家,50,104
大井２丁目,民営の借家,63,99
大井２丁目,給与住宅,7,10
大井２丁目,間借り,5,14
大字下臼井,持ち家,0,0
大字下臼井,公営・都市再生機構・公社の借家,0,0
大字下臼井,民営の借家,0,0
大字下臼井,給与住宅,0,0
大字下臼井,間借り,0,0
大字下月隈,持ち家,0,0
大字下月隈,公営・都市再生機構・公社の借家,0,0
大字下月隈,民営の借家,0,0
大字下月隈,給与住宅,0,0
大字下月隈,間借り,0,0
大字立花寺,持ち家,59,196
大字立花寺,公営・都市再生機構・公社の借家,0,0
大字立花寺,民営の借家,1,3
大字立花寺,給与住宅,0,0
大字立花寺,間借り,1,3
大字金隈,持ち家,0,0
大字金隈,公営・都市再生機構・公社の借家,0,0
大字金隈,民営の借家,0,0
大字金隈,給与住宅,0,0
大字金隈,間借り,0,0
西月隈１丁目,持ち家,86,173
西月隈１丁目,公営・都市再生機構・公社の借家,0,0
西月隈１丁目,民営の借家,56,72
西月隈１丁目,給与住宅,6,6
西月隈１丁目,間借り,3,6
西月隈３丁目,持ち家,346,758
西月隈３丁目,公営・都市再生機構・公社の借家,0,0
西月隈３丁目,民営の借家,92,198
西月隈３丁目,給与住宅,22,42
西月隈３丁目,間借り,11,20
西月隈４丁目,持ち家,0,0
