Town,FamilyType,TotalHouseholds,total_pop,NonResSum,NonResSumPopulation,IsSingleOnly,NonResHouseholds_Init,NonResHouseholds_Adjusted,NonResHouseholds,Discrepancy
住吉４丁目,核家族以外の世帯,44,121,2,2,True,0.0,-0.0,0.24161781493163614,0.0
住吉４丁目,非親族を含む世帯,29,59,2,2,True,0.0,-0.0,0.24161781493163614,0.0
住吉４丁目,単独世帯,1427,1427,2,2,True,2.0,0.24161781493163595,2.4832356298632723,0.0
住吉５丁目,夫婦のみの世帯,125,250,1,1,True,0.0,-0.0,0.12080890746581807,0.0
住吉５丁目,夫婦と子供から成る世帯,124,439,1,1,True,0.0,-0.0,0.12080890746581807,0.0
住吉５丁目,その他の核家族世帯,86,192,1,1,True,0.0,-0.0,0.12080890746581807,0.0
住吉５丁目,核家族以外の世帯,54,183,1,1,True,0.0,-0.0,0.12080890746581807,0.0
住吉５丁目,非親族を含む世帯,26,53,1,1,True,0.0,-0.0,0.12080890746581807,0.0
住吉５丁目,単独世帯,1289,1289,1,1,True,1.0,0.12080890746581797,1.2416178149316361,0.0
元町１丁目,夫婦のみの世帯,28,56,4,4,True,0.0,-0.0,0.4832356298632723,0.0
元町１丁目,夫婦と子供から成る世帯,30,107,4,4,True,0.0,-0.0,0.4832356298632723,0.0
元町１丁目,その他の核家族世帯,14,30,4,4,True,0.0,-0.0,0.4832356298632723,0.0
元町１丁目,核家族以外の世帯,8,25,4,4,True,0.0,-0.0,0.4832356298632723,0.0
元町１丁目,非親族を含む世帯,1,2,4,4,True,0.0,-0.0,0.4832356298632723,0.0
元町１丁目,単独世帯,132,132,4,4,True,4.0,0.4832356298632719,4.966471259726545,0.0
元町２丁目,夫婦のみの世帯,152,304,0,0,True,0.0,-0.0,0.0,0.0
元町２丁目,夫婦と子供から成る世帯,208,750,0,0,True,0.0,-0.0,0.0,0.0
元町２丁目,その他の核家族世帯,59,138,0,0,True,0.0,-0.0,0.0,0.0
元町２丁目,核家族以外の世帯,31,106,0,0,True,0.0,-0.0,0.0,0.0
元町２丁目,非親族を含む世帯,3,9,0,0,True,0.0,-0.0,0.0,0.0
元町２丁目,単独世帯,368,368,0,0,True,0.0,0.0,0.0,0.0
元町３丁目,夫婦のみの世帯,6,12,0,0,True,0.0,-0.0,0.0,0.0
元町３丁目,夫婦と子供から成る世帯,76,284,0,0,True,0.0,-0.0,0.0,0.0
元町３丁目,その他の核家族世帯,3,7,0,0,True,0.0,-0.0,0.0,0.0
元町３丁目,核家族以外の世帯,0,0,0,0,True,0.0,-0.0,0.0,0.0
元町３丁目,非親族を含む世帯,0,0,0,0,True,0.0,-0.0,0.0,0.0
元町３丁目,単独世帯,4,4,0,0,True,0.0,0.0,0.0,0.0
光丘町１丁目,夫婦のみの世帯,43,86,3,6,False,0.36338028169014086,-0.24648822882046112,-244.73496436347412,-243.97554891232946
光丘町１丁目,夫婦と子供から成る世帯,72,265,3,6,False,0.6084507042253522,-0.5116667017140772,-152.38072169598314,-151.60119819448008
光丘町１丁目,その他の核家族世帯,40,96,3,6,False,0.3380281690140845,-0.2511295579492809,-152.3906070874296,-151.60119819448008
光丘町１丁目,核家族以外の世帯,10,35,3,6,False,0.08450704225352113,-0.060997881039015205,-152.4539965372799,-151.60119819448008
光丘町１丁目,非親族を含む世帯,0,0,3,6,False,0.0,-0.0,-152.4775056984944,-151.60119819448008
光丘町１丁目,単独世帯,190,190,3,6,False,1.6056338028169013,0.19397486550849646,-150.67789703016902,-151.60119819448008
光丘町２丁目,夫婦のみの世帯,17,34,5,5,True,0.0,-0.0,0.6040445373290897,0.0
光丘町２丁目,夫婦と子供から成る世帯,46,175,5,5,True,0.0,-0.0,0.6040445373290897,0.0
光丘町２丁目,その他の核家族世帯,8,18,5,5,True,0.0,-0.0,0.6040445373290897,0.0
光丘町２丁目,核家族以外の世帯,6,25,5,5,True,0.0,-0.0,0.6040445373290897,0.0
光丘町２丁目,非親族を含む世帯,0,0,5,5,True,0.0,-0.0,0.6040445373290897,0.0
光丘町２丁目,単独世帯,82,82,5,5,True,5.0,0.6040445373290899,6.208089074658179,0.0
光丘町３丁目,夫婦のみの世帯,19,38,1,1,True,0.0,-0.0,0.12080890746581807,0.0
光丘町３丁目,夫婦と子供から成る世帯,36,129,1,1,True,0.0,-0.0,0.12080890746581807,0.0
光丘町３丁目,その他の核家族世帯,11,26,1,1,True,0.0,-0.0,0.12080890746581807,0.0
光丘町３丁目,核家族以外の世帯,5,20,1,1,True,0.0,-0.0,0.12080890746581807,0.0
光丘町３丁目,非親族を含む世帯,2,4,1,1,True,0.0,-0.0,0.12080890746581807,0.0
光丘町３丁目,単独世帯,64,64,1,1,True,1.0,0.12080890746581797,1.2416178149316361,0.0
冷泉町,夫婦のみの世帯,76,152,4,4,True,0.0,-0.0,0.4832356298632723,0.0
冷泉町,夫婦と子供から成る世帯,60,216,4,4,True,0.0,-0.0,0.4832356298632723,0.0
冷泉町,その他の核家族世帯,39,91,4,4,True,0.0,-0.0,0.4832356298632723,0.0
冷泉町,核家族以外の世帯,26,83,4,4,True,0.0,-0.0,0.4832356298632723,0.0
冷泉町,非親族を含む世帯,13,27,4,4,True,0.0,-0.0,0.4832356298632723,0.0
