Town,AreaRange,TotalHouseholds,TotalPopulation
東比恵１丁目,50～69㎡,24,42
東比恵１丁目,70～99㎡,10,14
東比恵１丁目,100～149㎡,3,6
東比恵１丁目,150㎡以上,3,7
東比恵２丁目,0～29㎡,313,323
東比恵２丁目,30～49㎡,224,283
東比恵２丁目,50～69㎡,130,209
東比恵２丁目,70～99㎡,34,60
東比恵２丁目,100～149㎡,13,35
東比恵２丁目,150㎡以上,6,26
東比恵３丁目,0～29㎡,260,272
東比恵３丁目,30～49㎡,317,398
東比恵３丁目,50～69㎡,377,746
東比恵３丁目,70～99㎡,119,258
東比恵３丁目,100～149㎡,17,44
東比恵３丁目,150㎡以上,12,39
東比恵４丁目,0～29㎡,119,128
東比恵４丁目,30～49㎡,77,106
東比恵４丁目,50～69㎡,162,297
東比恵４丁目,70～99㎡,114,251
東比恵４丁目,100～149㎡,14,35
東比恵４丁目,150㎡以上,5,17
上牟田１丁目,0～29㎡,150,166
上牟田１丁目,30～49㎡,142,176
上牟田１丁目,50～69㎡,114,241
上牟田１丁目,70～99㎡,119,271
上牟田１丁目,100～149㎡,20,50
上牟田１丁目,150㎡以上,21,60
上牟田２丁目,0～29㎡,14,18
上牟田２丁目,30～49㎡,18,29
上牟田２丁目,50～69㎡,11,26
上牟田２丁目,70～99㎡,9,20
上牟田２丁目,100～149㎡,7,21
上牟田２丁目,150㎡以上,9,22
上牟田３丁目,0～29㎡,59,64
上牟田３丁目,30～49㎡,35,46
上牟田３丁目,50～69㎡,182,402
上牟田３丁目,70～99㎡,41,100
上牟田３丁目,100～149㎡,10,29
上牟田３丁目,150㎡以上,5,14
大井１丁目,0～29㎡,2,3
大井１丁目,30～49㎡,0,0
大井１丁目,50～69㎡,4,7
大井１丁目,70～99㎡,1,2
大井１丁目,100～149㎡,3,5
大井１丁目,150㎡以上,1,6
大井２丁目,0～29㎡,21,29
大井２丁目,30～49㎡,75,136
大井２丁目,50～69㎡,29,58
大井２丁目,70～99㎡,10,23
大井２丁目,100～149㎡,7,21
大井２丁目,150㎡以上,9,32
大字下臼井,0～29㎡,0,0
大字下臼井,30～49㎡,0,0
大字下臼井,50～69㎡,0,0
大字下臼井,70～99㎡,0,0
大字下臼井,100～149㎡,0,0
大字下臼井,150㎡以上,0,0
大字下月隈,0～29㎡,0,0
大字下月隈,30～49㎡,0,0
大字下月隈,50～69㎡,0,0
大字下月隈,70～99㎡,0,0
大字下月隈,100～149㎡,0,0
大字下月隈,150㎡以上,0,0
大字立花寺,0～29㎡,0,0
大字立花寺,30～49㎡,1,3
大字立花寺,50～69㎡,1,3
大字立花寺,70～99㎡,22,62
大字立花寺,100～149㎡,32,110
大字立花寺,150㎡以上,5,24
大字金隈,0～29㎡,0,0
大字金隈,30～49㎡,0,0
大字金隈,50～69㎡,0,0
大字金隈,70～99㎡,0,0
大字金隈,100～149㎡,0,0
大字金隈,150㎡以上,0,0
