Town,NonResSumHouseholds,NonResSumPopulation,FamilyType,NonResHouseholds,NonResPopulation
竹下１丁目,5,5,夫婦のみの世帯,0,0
竹下１丁目,5,5,核家族以外の世帯,0,0
竹下１丁目,5,5,非親族を含む世帯,0,0
竹下３丁目,0,0,その他の核家族世帯,0,0
竹下３丁目,0,0,単独世帯,0,0
竹下３丁目,0,0,夫婦と子供から成る世帯,0,0
竹下３丁目,0,0,夫婦のみの世帯,0,0
竹下３丁目,0,0,核家族以外の世帯,0,0
竹下３丁目,0,0,非親族を含む世帯,0,0
竹下４丁目,2,2,その他の核家族世帯,0,0
竹下４丁目,2,2,単独世帯,2,2
竹下４丁目,2,2,夫婦と子供から成る世帯,0,0
竹下４丁目,2,2,夫婦のみの世帯,0,0
竹下４丁目,2,2,核家族以外の世帯,0,0
竹下４丁目,2,2,非親族を含む世帯,0,0
竹下５丁目,2,2,その他の核家族世帯,0,0
竹下５丁目,2,2,単独世帯,2,2
竹下５丁目,2,2,夫婦と子供から成る世帯,0,0
竹下５丁目,2,2,夫婦のみの世帯,0,0
竹下５丁目,2,2,核家族以外の世帯,0,0
竹下５丁目,2,2,非親族を含む世帯,0,0
東光寺町１丁目,7,7,その他の核家族世帯,0,0
東光寺町１丁目,7,7,単独世帯,7,7
東光寺町１丁目,7,7,夫婦と子供から成る世帯,0,0
東光寺町１丁目,7,7,夫婦のみの世帯,0,0
東光寺町１丁目,7,7,核家族以外の世帯,0,0
東光寺町１丁目,7,7,非親族を含む世帯,0,0
東光寺町２丁目,1,1,その他の核家族世帯,0,0
東光寺町２丁目,1,1,単独世帯,1,1
東光寺町２丁目,1,1,夫婦と子供から成る世帯,0,0
東光寺町２丁目,1,1,夫婦のみの世帯,0,0
東光寺町２丁目,1,1,核家族以外の世帯,0,0
東光寺町２丁目,1,1,非親族を含む世帯,0,0
那珂４丁目,2,2,その他の核家族世帯,0,0
那珂４丁目,2,2,単独世帯,2,2
那珂４丁目,2,2,夫婦と子供から成る世帯,0,0
那珂４丁目,2,2,夫婦のみの世帯,0,0
那珂４丁目,2,2,核家族以外の世帯,0,0
那珂４丁目,2,2,非親族を含む世帯,0,0
那珂５丁目,17,17,その他の核家族世帯,0,0
那珂５丁目,17,17,単独世帯,17,17
那珂５丁目,17,17,夫婦と子供から成る世帯,0,0
那珂５丁目,17,17,夫婦のみの世帯,0,0
那珂５丁目,17,17,核家族以外の世帯,0,0
那珂５丁目,17,17,非親族を含む世帯,0,0
那珂６丁目,0,0,その他の核家族世帯,0,0
那珂６丁目,0,0,単独世帯,0,0
那珂６丁目,0,0,夫婦と子供から成る世帯,0,0
那珂６丁目,0,0,夫婦のみの世帯,0,0
那珂６丁目,0,0,核家族以外の世帯,0,0
那珂６丁目,0,0,非親族を含む世帯,0,0
板付１丁目,0,0,その他の核家族世帯,0,0
板付１丁目,0,0,単独世帯,0,0
板付１丁目,0,0,夫婦と子供から成る世帯,0,0
板付１丁目,0,0,夫婦のみの世帯,0,0
板付１丁目,0,0,核家族以外の世帯,0,0
板付１丁目,0,0,非親族を含む世帯,0,0
板付２丁目,0,0,その他の核家族世帯,0,0
板付２丁目,0,0,単独世帯,0,0
板付２丁目,0,0,夫婦と子供から成る世帯,0,0
板付２丁目,0,0,夫婦のみの世帯,0,0
板付２丁目,0,0,核家族以外の世帯,0,0
板付２丁目,0,0,非親族を含む世帯,0,0
板付３丁目,1,1,その他の核家族世帯,0,0
板付３丁目,1,1,単独世帯,1,1
板付３丁目,1,1,夫婦と子供から成る世帯,0,0
板付３丁目,1,1,夫婦のみの世帯,0,0
板付３丁目,1,1,核家族以外の世帯,0,0
